Sample,Predicted_Species,R1_Q,R1_AvgReadLength,R1_TotalBases,R1_NumReads,R2_Q,R2_AvgReadLength,R2_TotalBases,R2_NumReads,Est_Cvg,N50
SRR8568122,Salmonella_enterica,36.53,244.84,91590041,374068,34.53,244.88,91602896,374068,36.63,517767
SRR5184275,Salmonella_enterica,35.65,244.37,186509686,763213,31.54,245.28,187205499,763213,74.74,213357
SRR5956151,Salmonella_enterica,36.71,241.82,267105024,1104551,33.94,242.22,267547782,1104551,106.92,200140
